Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
148,1569,186,1.02395e+08,142,6,0,0,9140216,26987788,,879560,658500,3139276,1533136,2929744,,3034420,4383616,6111084,8829384,4629284
149,1582,171,9.61312e+07,142,7,0,0,9140324,26982828,,879636,658524,3139256,1533132,2929776,,3047580,4378300,6113292,8810092,4633564
150,1595,169,9.85059e+07,143,7,0,0,9140424,26928648,,879668,658508,3139268,1533224,2929756,,2990692,4378056,6110696,8815072,4634132
151,1608,173,9.53528e+07,146,5,0,0,9140540,26873432,,879644,658552,3139348,1533248,2929748,,3026380,4357664,6105220,8770680,4613488
152,1621,181,9.54433e+07,146,6,0,0,9140712,26917136,,879632,658580,3139336,1533268,2929896,,3032752,4370376,6111040,8805584,4597384
153,1632,184,1.00739e+08,147,6,0,0,9140760,26868304,,879636,658604,3139408,1533216,2929896,,3028608,4334216,6101272,8814004,4590204
154,1644,188,1.0334e+08,147,7,0,0,9140840,26886132,,879656,658668,3139412,1533216,2929888,,3009120,4354516,6100140,8820612,4601744
155,1656,176,9.12256e+07,148,7,0,0,9141224,26822076,,879908,658796,3139380,1533228,2929912,,3026316,4312324,6082664,8813388,4587384
156,1669,180,9.57412e+07,148,6,0,0,9141328,26877620,,879892,658776,3139484,1533172,2930004,,3026980,4353416,6091336,8809736,4596152
157,1680,185,1.08099e+08,148,5,0,0,9141720,26875464,,879932,658768,3139484,1533344,2930192,,3025496,4357428,6091632,8805764,4595144
158,1693,194,1.13284e+08,148,5,0,0,9141764,26835660,,879944,658772,3139484,1533372,2930192,,3023676,4349088,6082372,8806728,4573796
159,1705,169,8.82688e+07,148,6,0,0,9141732,26844364,,879824,658808,3139540,1533392,2930168,,3021504,4332736,6082112,8810468,4597544
160,1717,181,9.25911e+07,148,6,0,0,9142124,26777916,,879820,658812,3139612,1533624,2930256,,3023664,4358708,6081584,8775756,4538204
161,1728,183,9.36854e+07,148,7,0,0,9141868,26823380,,879804,658824,3139600,1533408,2930232,,3024068,4359736,6081124,8779564,4578888
162,1739,179,1.07409e+08,149,8,0,0,9141892,26799792,,879772,658792,3139604,1533476,2930248,,3020572,4341952,6057376,8794600,4585292
163,1750,200,1.10318e+08,153,7,0,0,9142060,26755756,,879792,658796,3139688,1533540,2930244,,3005648,4339276,6069336,8772712,4568784
164,1763,196,1.04218e+08,155,8,0,0,9142476,26686812,,879884,658932,3139872,1533516,2930272,,2990728,4326460,6027140,8779988,4562496
165,1774,184,1.09149e+08,156,8,0,0,9142740,26656528,,879928,658960,3139796,1533664,2930392,,3009256,4300956,6047048,8732612,4566656
