Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,5,Free,0,1,2,3,4,5
138,243,0,0,110686112,165716836,,17171504,18301084,17990516,18757084,17984736,20481188,,28176276,28132716,28493420,27033136,28629852,25251436
139,244,0,0,110699136,165667512,,17162408,18297464,17991300,18764612,17997968,20485384,,28167356,28122744,28502900,27029156,28617768,25227588
140,184,0,0,110663532,165694152,,17093752,18298952,17991524,18769616,17991616,20518072,,28223248,28114384,28507616,27008644,28624548,25215712
141,4,0,0,110777736,165652664,,17228856,18299864,17991736,18769332,17990732,20497216,,28154536,28140760,28497884,27016184,28623452,25219848
142,212,0,0,110701644,165616384,,17153308,18323504,17998836,18756752,17993276,20475968,,28143328,28118972,28467156,27043240,28604060,25239628
143,144,0,0,110666252,165681796,,17118696,18318404,17997948,18767448,17993520,20470236,,28198048,28103832,28486884,27036388,28611428,25245216
144,166,0,0,110779496,165516760,,17194332,18314820,18002560,18765232,17996428,20506124,,28104640,28105484,28478820,27022400,28613540,25191876
145,145,0,0,110785456,165511084,,17200092,18315468,17999240,18773640,17997600,20499416,,28123536,28083840,28476220,27023924,28601688,25201876
146,184,0,0,110711404,165566844,,17093488,18332576,17997600,18766524,18016540,20504676,,28211052,28099432,28480120,27018784,28594268,25163188
147,226,0,0,110898812,165582448,,17258176,18325304,18000596,18762816,18013500,20538420,,28152340,28090536,28481516,27001364,28594444,25262248
148,84,0,0,110719248,165770048,,17091732,18323876,17998780,18785144,18001308,20518408,,28286388,28112352,28473972,27010668,28604880,25281788
149,125,0,0,110699832,165794172,,17111720,18317272,18005408,18774960,18005604,20484868,,28306044,28090940,28487404,27005680,28600988,25303116
150,198,0,0,110771020,165750280,,17148924,18330464,18004472,18790912,18009868,20486380,,28291440,28101192,28458996,27003464,28594588,25300600
151,223,0,0,110854016,165564652,,17187484,18332168,18006512,18780284,18008000,20539568,,28194156,28089928,28471844,27000120,28587944,25220660
152,185,0,0,110734372,165702144,,17127640,18329124,18009100,18781308,18010132,20477068,,28262488,28091116,28470744,26993788,28579060,25304948
153,240,0,0,110800392,165585104,,17253688,18329908,18008416,18784396,18008860,20415124,,28139472,28058656,28464408,26992688,28586680,25343200
154,223,0,0,110802584,165547696,,17214148,18335816,18008108,18800032,18011052,20433428,,28145068,28084764,28472236,26975996,28577544,25292088
155,3,0,0,111103848,165424324,,17419332,18338408,18010248,18795680,18023596,20516584,,27986140,28080884,28472680,26974176,28583188,25327256
